;CANTIDAD;17;17;8;8;6;6;6;6;6;6;6;6;5;5;5;5;4;4;4;4
;CONJUNTO;TODAS;TODAS;3,5,7,9,11,13,15,17;3,5,7,9,11,13,15,17;4,6,8,12,14,16;4,6,8,12,14,16;3,6,9,11,14,17;3,6,9,11,14,17;3,5,9,11,13,17;3,5,9,11,13,17;3,7,9,11,15,17;3,7,9,11,15,17;1,3,9,11,17;1,3,9,11,17;1,4,8,12,16;1,4,8,12,16;4,8,12,16;4,8,12,16;3,9,11,17;3,9,11,17
NUMERO;NOMBRE;Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm);Promedio(cm);99%(cm)
1;LeftUpLeg;0,3671;0,5158;0,3551;0,6197;5,821;37,6612;3,6182;45,3281;1,4455;22,4893;PERDIDO;PERDIDO;PERDIDO;PERDIDO;PERDIDO;PERDIDO;PERDIDO;PERDIDO;2,167;31,4114
2;LeftLeg;0,367;0,5411;0,3491;0,4464;0,3513;0,816;PERDIDO;PERDIDO;0,3948;1,7799;0,5296;2,74;0,4295;2,3917;0,8971;22,988;0,565;9,7164;1,1854;26,0476
3;LeftFoot;0,372;0,558;0,3582;0,5339;0,3605;1,2945;0,3667;0,8624;0,3824;0,8816;0,3844;0,8658;0,4147;0,7458;0,5518;8,6042;0,38;0,9696;0,4273;0,7269
4;RightUpLeg;0,3714;0,5879;0,368;0,6825;4,1048;58,1895;1,2155;27,1109;1,1137;12,3685;1,4861;15,8273;4,2922;58,0209;PERDIDO;PERDIDO;PERDIDO;PERDIDO;0,8181;13,8336
5;RightLeg;0,378;0,586;0,3627;0,6065;0,3472;0,4227;0,3412;0,41;0,4018;1,5785;0,3846;0,6913;3,3777;61,5332;0,3934;1,5824;0,6517;13,5;PERDIDO;PERDIDO
6;RightFoot;0,4212;1,8483;0,3597;0,5667;0,5627;9,3183;0,7806;19,5713;0,3969;1,2771;0,393;1,3017;PERDIDO;PERDIDO;0,493;4,8055;0,4682;4,8055;0,4841;1,1391
7;Spine;0,404;0,6043;0,3819;0,5122;0,664;17,1032;0,4985;5,5806;0,4152;1,4769;1,2313;10,2902;18,9827;50,6854;16,6915;35,0544;3,1591;30,8635;3,7266;29,8362
8;Head;0,3867;0,9063;0,3676;0,5208;0,3559;0,4546;0,38;0,54;0,384;0,7113;0,384;0,6934;9,2659;22,7929;PERDIDO;PERDIDO;0,3595;0,4278;0,388;0,54
9;LeftArm;0,3666;0,7997;0,3607;0,516;0,5959;6,4694;0,6544;9,2929;0,5909;7,9405;0,3908;0,8389;0,5064;4,9531;0,3648;0,5347;0,3609;0,5417;0,4155;0,5588
10;LeftForeArm;0,3873;0,9056;0,3621;0,6793;0,3472;0,4888;0,3608;0,656;0,4258;1,7149;0,3895;0,9638;0,6575;10,2007;0,7586;13,8037;2,8277;25,0512;2,8636;17,1966
11;LeftHand;0,4007;1,1722;0,3667;0,7895;0,3519;0,6833;0,3717;0,7004;0,3909;1,2141;0,3756;1,0439;0,6831;13,8355;1,5395;25,0238;0,6116;9,755;0,4814;3,8581
12;RightArm;0,4025;1,4771;0,3602;0,5078;0,5879;6,7102;0,5145;9,4856;0,3756;0,7621;0,386;0,8189;0,7107;14,7915;0,6703;7,409;0,6862;11,1969;0,6188;12,4351
13;RightForeArm;0,3844;0,781;0,36;0,5199;0,3511;0,6307;0,3653;0,6726;0,3968;0,9704;0,516;5,8124;2,3882;34,3833;PERDIDO;PERDIDO;2,0736;21,7146;2,2073;25,8873
14;RightHand;0,3816;0,7728;0,3637;0,4884;0,4799;7,4024;0,6051;14,0673;0,617;14,0623;0,7186;11,8042;1,906;"38,9179	";PERDIDO;PERDIDO;0,9646;22,845;PERDIDO;PERDIDO
;Secuencia;0,35686;0,81266;0,33603;0,53412;1,0095;24,3404;0,71806;17,1131;0,51182;6,9322;0,5512;7,4726;3,0121;40,035;1,0513;20,5912;1,3662;23,0206;1,1976;22,5326
