;;14;14;18;18;30;30
Ground Cam;0;1,27E-10;1,01E-09;1,27E-10;1,01E-09;1,27E-10;1,01E-09
Segmentacion;0;0,38553;1,6915;0,38553;1,6915;0,38305;1,6747
Ground Cam;0,5;1,0404;3,0757;0,5535;2,0504;0,53616;2,1104
Segmentacion;0,5;0,76172;2,8548;0,70514;2,096;0,69771;2,0234
Ground Cam;1;1,6511;13,184;1,1398;5,1215;1,0356;3,7874
Segmentacion;1;1,3948;9,2686;1,1158;3,8027;1,145;3,8481
Ground Cam;2;4,8746;59,8172;3,4818;53,3151;1,7094;7,4023
Segmentacion;2;6,3302;49,8491;3,348;45,4941;2,0409;8,0023
Ground Cam;4;12,7279;131,2929;13,9006;121,5673;3,17;21,153
Segmentacion;4;10,7759;67,2878;11,2504;102,6039;4,5432;40,5608
Ground Cam;8;22,6934;136,0204;21,8413;143,0939;8,7161;42,9549
Segmentacion;8;25,7256;187,2483;24,2908;158,6828;8,6034;41,6941
