marker_track;marker_ground;;promedio;prc_99;promedio;prc_99
12;1;LeftUpLeg;0,3671;0,5158;0,4042;2,0371
3;2;LeftLeg;0,367;0,5411;0,5456;2,7576
2;3;LeftFoot;0,372;0,558;0,377;0,7558
6;4;RightUpLeg;0,3714;0,5879;0,4033;1,6849
4;5;RightLeg;0,378;0,586;0,446;2,1396
14;6;RightFoot;0,4212;1,8483;0,4447;1,8483
9;7;Spine;0,404;0,6043;0,4103;0,7652
7;8;Head;0,3867;0,9063;0,3923;1,2422
8;9;LeftArm;0,3666;0,7997;0,3617;0,594
13;10;LeftForeArm;0,3873;0,9056;0,3961;1,1897
10;11;LeftHand;0,4007;1,1722;0,4128;1,4842
1;12;RightArm;0,4025;1,4771;0,3866;0,944
11;13;RightForeArm;0,3844;0,781;0,3945;0,8591
5;14;RightHand;0,3816;0,7728;0,411;1,1087
;;Secuencia;0,35686;0,81266;0,38305;1,6747
