Caso;;14;18;30;46
Ground Cam;0;7,84E-07;7,84E-07;7,84E-07;7,84E-07
Segmentacion;0;1,5792;0,38556;0,38556;0,38556
Ground Cam;0,5;4,0817;0,45675;0,4453;0,42607
Segmentacion;0,5;13,6991;0,61128;0,61381;0,60517
Ground Cam;1;16,9275;0,82309;0,72011;0,73301
Segmentacion;1;11,0847;0,8557;0,82286;0,83073
Ground Cam;2;19,7131;1,7649;1,2152;1,2027
Segmentacion;2;15,9698;1,9701;1,3021;1,2884
Ground Cam;4;28,6943;6,1386;2,1877;2,0468
Segmentacion;4;51,4025;5,7738;2,1484;2,1335
Ground Cam;8;53,9555;14,3684;5,4929;3,8377
Segmentacion;8;264,8935;13,1539;4,7142;3,7993
