;Promedio;STD;TASA Deteccion;Promedio;STD;NOTA
;Pixel;Pixel;%;cm;cm;
08_07\1600_600-100-100;1,0871;0,4035;64;0,3816;0,1032;
08_07\1600_600-100-200;1,0912;0,4259;65,1297;0,3848;0,1155;
08_07\1040_390-100-200;1,1005;0,5309;65,1297;0,6122;0,3921;
08_07\800_300-100-200;1,0793;0,4022;64,8533;0,7815;0,2615;
08_07\400_150-100-200*;1,0536;0,2251;53,483;3,3992;7,8863;Quitar Camara 17
;;;;;;
09_12\1600_600-100-100*;1,0443;0,2445;61,2307;0,3861;0,1048;Quitar Camara 1,2,10
09_12\1040_390-100-100*;1,0555;0,4103;57,5128;0,6066;0,1748;Quitar Camara 1,2,10
09_12\800_300-100-100*;1,0458;0,3265;56,5748;0,7836;0,2051;Quitar Camara 1,2,10
09_12\400_150-100-100;1,0414;0,2199;48,2643;N/A;N/A;
